repeat,page,arm,started_at,observed_bytes,completed_requests,failed_requests,intentionally_blocked_requests,browser_policy_blocked_requests,missing_sizes,duration_ms,document_status
1,33,lean,2026-09-22T12:53:15.755Z,116075,9,0,37,1,0,4852,200
1,34,lean,2026-09-22T12:53:21.046Z,115832,9,0,22,1,0,4933,200
1,34,full,2026-09-22T12:53:26.402Z,370582,30,0,0,1,0,6622,200
1,35,full,2026-09-22T12:53:33.465Z,360141,30,0,0,1,0,6647,200
1,35,lean,2026-09-22T12:53:40.526Z,115927,9,0,39,1,0,4790,200
1,36,lean,2026-09-22T12:53:45.753Z,115898,9,0,39,1,0,4492,200
1,36,full,2026-09-22T12:53:50.682Z,367725,30,0,0,1,0,6813,200
1,37,full,2026-09-22T12:53:57.938Z,364322,30,0,0,1,0,6611,200
1,37,lean,2026-09-22T12:54:04.988Z,115872,9,0,34,1,0,4844,200
1,38,lean,2026-09-22T12:54:10.279Z,116077,9,0,39,1,0,4958,200
1,38,full,2026-09-22T12:54:15.677Z,367129,30,0,0,1,0,6193,200
1,39,full,2026-09-22T12:54:22.334Z,361908,30,0,0,1,0,6344,200
1,39,lean,2026-09-22T12:54:29.120Z,116008,9,0,30,1,0,4474,200
1,40,lean,2026-09-22T12:54:34.027Z,115879,9,0,30,1,0,4983,200
1,40,full,2026-09-22T12:54:39.439Z,357174,30,0,0,1,0,6227,200
1,41,full,2026-09-22T12:54:46.116Z,350819,30,0,0,1,0,6043,200
1,41,lean,2026-09-22T12:54:52.574Z,115902,9,0,40,1,0,5184,200
1,42,lean,2026-09-22T12:54:58.193Z,116015,9,0,37,1,0,5006,200
1,42,full,2026-09-22T12:55:03.625Z,371115,30,0,0,1,0,6477,200
1,43,full,2026-09-22T12:55:10.544Z,355768,30,0,0,1,0,6468,200
1,43,lean,2026-09-22T12:55:17.434Z,115797,9,0,30,1,0,5161,200
1,44,lean,2026-09-22T12:55:23.036Z,115795,9,0,33,1,0,5066,200
1,44,full,2026-09-22T12:55:28.537Z,346092,30,0,0,1,0,6332,200
1,45,full,2026-09-22T12:55:35.306Z,353411,30,0,0,1,0,6641,200
1,45,lean,2026-09-22T12:55:42.387Z,115931,9,0,25,1,0,4918,200
1,46,lean,2026-09-22T12:55:47.750Z,115785,9,0,40,1,0,5386,200
1,46,full,2026-09-22T12:55:53.599Z,358860,30,0,0,1,0,6277,200
1,47,full,2026-09-22T12:56:00.298Z,375847,30,0,0,1,0,6142,200
1,47,lean,2026-09-22T12:56:06.883Z,115692,9,0,42,1,0,4751,200
1,48,lean,2026-09-22T12:56:12.076Z,115669,9,0,40,1,0,4732,200
1,48,full,2026-09-22T12:56:17.236Z,377747,30,0,0,1,0,6681,200
1,49,full,2026-09-22T12:56:24.348Z,363784,30,0,0,1,0,6403,200
1,49,lean,2026-09-22T12:56:31.158Z,115716,9,0,22,1,0,4701,200
1,50,lean,2026-09-22T12:56:36.264Z,115824,9,0,32,1,0,4453,200
1,50,full,2026-09-22T12:56:41.157Z,373023,30,0,0,1,0,6105,200
2,1,full,2026-09-22T12:56:47.708Z,351250,30,0,0,1,0,6640,200
2,1,lean,2026-09-22T12:56:54.802Z,115926,9,0,29,1,0,4975,200
2,2,lean,2026-09-22T12:57:00.233Z,115980,9,0,30,1,0,4716,200
2,2,full,2026-09-22T12:57:05.400Z,377649,30,0,0,1,0,6113,200
2,3,full,2026-09-22T12:57:11.964Z,372474,30,0,0,1,0,6130,200
2,3,lean,2026-09-22T12:57:18.526Z,116210,9,0,22,1,0,5101,200
2,4,lean,2026-09-22T12:57:24.055Z,116340,9,0,41,1,0,4734,200
2,4,full,2026-09-22T12:57:29.220Z,370379,30,0,0,1,0,6438,200
2,5,full,2026-09-22T12:57:36.086Z,380585,30,0,0,1,0,6416,200
2,5,lean,2026-09-22T12:57:42.950Z,116130,9,0,41,1,0,4533,200
2,6,lean,2026-09-22T12:57:47.931Z,116198,9,0,22,1,0,4676,200
2,6,full,2026-09-22T12:57:53.048Z,385305,30,0,0,1,0,6305,200
2,7,full,2026-09-22T12:57:59.771Z,376586,30,0,0,1,0,6163,200
2,7,lean,2026-09-22T12:58:06.354Z,116080,9,0,39,1,0,5290,200
2,8,lean,2026-09-22T12:58:12.058Z,116009,9,0,42,1,0,5080,200
2,8,full,2026-09-22T12:58:17.569Z,379332,30,0,0,1,0,6858,200
2,9,full,2026-09-22T12:58:24.851Z,373081,30,0,0,1,0,6482,200
2,9,lean,2026-09-22T12:58:31.756Z,116016,9,0,38,1,0,4819,200
2,10,lean,2026-09-22T12:58:36.995Z,116112,9,0,28,1,0,5088,200
2,10,full,2026-09-22T12:58:42.505Z,369303,30,0,0,1,0,6100,200
2,11,full,2026-09-22T12:58:49.023Z,352843,30,0,0,1,0,5998,200
2,11,lean,2026-09-22T12:58:55.462Z,116031,9,0,40,1,0,5060,200
2,12,lean,2026-09-22T12:59:00.936Z,115869,9,0,39,1,0,4953,200
2,12,full,2026-09-22T12:59:06.288Z,390834,30,0,0,1,0,6110,200
2,13,full,2026-09-22T12:59:12.839Z,392582,30,0,0,1,0,6446,200
2,13,lean,2026-09-22T12:59:19.723Z,116034,9,0,29,1,0,4988,200
2,14,lean,2026-09-22T12:59:25.126Z,116049,9,0,37,1,0,4528,200
2,14,full,2026-09-22T12:59:30.072Z,376836,30,0,0,1,0,6116,200
2,15,full,2026-09-22T12:59:36.606Z,378623,30,0,0,1,0,6367,200
2,15,lean,2026-09-22T12:59:43.392Z,116110,9,0,39,1,0,5010,200
2,16,lean,2026-09-22T12:59:48.823Z,115986,9,0,30,1,0,4918,200
2,16,full,2026-09-22T12:59:54.133Z,356089,30,0,0,1,0,6534,200
2,17,full,2026-09-22T13:00:01.121Z,370894,30,0,0,1,0,6354,200
2,17,lean,2026-09-22T13:00:07.901Z,115754,9,0,31,1,0,4262,200
2,18,lean,2026-09-22T13:00:12.592Z,116050,9,0,37,1,0,4950,200
2,18,full,2026-09-22T13:00:17.969Z,369450,30,0,0,1,0,6309,200
2,19,full,2026-09-22T13:00:25.010Z,374714,30,0,0,1,0,6100,200
2,19,lean,2026-09-22T13:00:31.525Z,116081,9,0,30,1,0,4864,200
2,20,lean,2026-09-22T13:00:36.793Z,116174,9,0,22,1,0,5235,200
2,20,full,2026-09-22T13:00:42.443Z,366621,30,0,0,1,0,6628,200
2,21,full,2026-09-22T13:00:49.491Z,344006,30,0,0,1,0,6723,200
2,21,lean,2026-09-22T13:00:56.630Z,115894,9,0,40,1,0,4663,200
2,22,lean,2026-09-22T13:01:01.713Z,115999,9,0,32,1,0,4997,200
2,22,full,2026-09-22T13:01:07.123Z,369580,30,0,0,1,0,6795,200
2,23,full,2026-09-22T13:01:14.315Z,357679,30,0,0,1,0,6433,200
2,23,lean,2026-09-22T13:01:21.163Z,116220,9,0,32,1,0,4944,200
2,24,lean,2026-09-22T13:01:26.526Z,115956,9,0,33,1,0,4867,200
2,24,full,2026-09-22T13:01:31.800Z,363663,30,0,0,1,0,6242,200
2,25,full,2026-09-22T13:01:38.431Z,362512,30,0,0,1,0,6809,200
2,25,lean,2026-09-22T13:01:45.657Z,116435,9,0,41,1,0,4699,200
2,26,lean,2026-09-22T13:01:50.776Z,115898,9,0,37,1,0,4936,200
2,26,full,2026-09-22T13:01:56.127Z,363458,30,0,0,1,0,6332,200
2,27,full,2026-09-22T13:02:02.874Z,374822,30,0,0,1,0,15943,200
2,27,lean,2026-09-22T13:02:19.223Z,116005,9,0,27,1,0,4919,200
2,28,lean,2026-09-22T13:02:24.556Z,116111,9,0,26,1,0,4497,200
2,28,full,2026-09-22T13:02:29.458Z,352732,30,0,0,1,0,6447,200
2,29,full,2026-09-22T13:02:36.322Z,372292,30,0,0,1,0,6145,200
2,29,lean,2026-09-22T13:02:42.890Z,115848,9,0,35,1,0,5045,200
2,30,lean,2026-09-22T13:02:48.338Z,115837,9,0,40,1,0,4696,200
2,30,full,2026-09-22T13:02:53.458Z,377380,30,0,0,1,0,6329,200
2,31,full,2026-09-22T13:03:00.209Z,363917,30,0,0,1,0,6473,200
2,31,lean,2026-09-22T13:03:07.105Z,115914,9,0,33,1,0,5094,200
2,32,lean,2026-09-22T13:03:12.601Z,115946,9,0,34,1,0,4878,200
2,32,full,2026-09-22T13:03:17.890Z,361452,30,0,0,1,0,6310,200
2,33,full,2026-09-22T13:03:24.601Z,375597,30,0,0,1,0,6520,200
2,33,lean,2026-09-22T13:03:31.542Z,116004,9,0,39,1,0,5099,200
2,34,lean,2026-09-22T13:03:37.058Z,115818,9,0,37,1,0,4857,200
2,34,full,2026-09-22T13:03:42.331Z,370650,30,0,0,1,0,6260,200
2,35,full,2026-09-22T13:03:49.008Z,360143,30,0,0,1,0,6506,200
2,35,lean,2026-09-22T13:03:55.924Z,115979,9,0,22,1,0,4758,200
2,36,lean,2026-09-22T13:04:01.117Z,115939,9,0,26,1,0,4894,200
2,36,full,2026-09-22T13:04:06.424Z,367773,30,0,0,1,0,6441,200
2,37,full,2026-09-22T13:04:13.290Z,364353,30,0,0,1,0,6451,200
2,37,lean,2026-09-22T13:04:20.159Z,115887,9,0,40,1,0,4701,200
2,38,lean,2026-09-22T13:04:25.273Z,116063,9,0,42,1,0,4851,200
2,38,full,2026-09-22T13:04:30.541Z,367168,30,0,0,1,0,6716,200
2,39,full,2026-09-22T13:04:37.680Z,361951,30,0,0,1,0,6408,200
2,39,lean,2026-09-22T13:04:44.496Z,115967,9,0,24,1,0,4469,200
2,40,lean,2026-09-22T13:04:49.365Z,115913,9,0,22,1,0,5044,200
2,40,full,2026-09-22T13:04:54.810Z,357157,30,0,0,1,0,6056,200
2,41,full,2026-09-22T13:05:01.311Z,350850,30,0,0,1,0,6576,200
2,41,lean,2026-09-22T13:05:08.336Z,115944,9,0,40,1,0,5079,200
