repeat,arm,unique_records,observed_bytes,accepted_attempt_bytes,attempts,retry_attempts,failed_requests,decimal_mb,completed_requests,blocked_requests,modelled_usd_at_6_50,modelled_usd_at_2_50
1,full,1000,18379947,18379947,50,0,0,18.379947,1500,0,0.11946965550000001,0.045949867500000005
1,lean,1000,5798633,5798633,50,0,0,5.798633,450,1645,0.0376911145,0.0144965825
2,full,1000,18380066,18380066,50,0,0,18.380066,1500,0,0.119470429,0.045950165
2,lean,1000,5799086,5799086,50,0,0,5.799086,450,1650,0.037694059,0.014497715000000001
3,full,1000,18379705,18379705,50,0,0,18.379705,1500,0,0.1194680825,0.0459492625
3,lean,1000,5798734,5798734,51,1,1,5.798734,450,1616,0.037691771,0.014496835
